,Area,Perimeter,Aspect Ratio,Circularity,Compactness,Density,Mean Spacing,Uniformity,Carburizing Temp.,Tempering Temp.,HV Mean
Area,1.000,-0.761,-0.870,-0.116,-0.834,0.987,-0.708,0.166,0.111,-0.614,0.417
Perimeter,-0.761,1.000,0.450,-0.381,0.988,-0.830,0.785,-0.342,0.104,0.373,-0.220
Aspect Ratio,-0.870,0.450,1.000,0.411,0.547,-0.810,0.456,0.026,-0.176,0.587,-0.400
Circularity,-0.116,-0.381,0.411,1.000,-0.285,-0.011,-0.230,-0.046,-0.180,0.102,-0.035
Compactness,-0.834,0.988,0.547,-0.285,1.000,-0.889,0.793,-0.329,0.090,0.424,-0.246
Density,0.987,-0.830,-0.810,-0.011,-0.889,1.000,-0.750,0.206,0.102,-0.602,0.415
Mean Spacing,-0.708,0.785,0.456,-0.230,0.793,-0.750,1.000,-0.356,0.068,0.450,-0.327
Uniformity,0.166,-0.342,0.026,-0.046,-0.329,0.206,-0.356,1.000,-0.083,-0.084,0.046
Carburizing Temp.,0.111,0.104,-0.176,-0.180,0.090,0.102,0.068,-0.083,1.000,-0.201,0.477
Tempering Temp.,-0.614,0.373,0.587,0.102,0.424,-0.602,0.450,-0.084,-0.201,1.000,-0.633
HV Mean,0.417,-0.220,-0.400,-0.035,-0.246,0.415,-0.327,0.046,0.477,-0.633,1.000
